Station,Latitude,Longitude,Location,Notes
501 FRP,38.07447,122.01588,Suisun,Near IEP 501
520 FRP,38.04482,121.87193,Confluence,Sites in the shoals near Browns Island
602FRP,38.12129217,122.0067224,Grizzly,"East side of Grizzly Bay, Sampled while 20mm samples IEP 602"
609 FRP,38.18178043,121.9139374,Suisun,"LIttle Honker Bay, Sampled while IEP samples station 609"
703 FRP,38.0430953,121.7992028,Confluence,"Anywhere in Sherman Lake, Sampled while 20mm samples IEP 703"
705 FRP,38.08988506,121.7090585,Horseshoe Bend,"Middle of Horseshoe bend, Sampled while 20mm sampled station 705"
706 FRP,38.08294,121.72507,Horseshoe Bend,"South end of Horseshoe bend, Sampled while 20mm samples IEP station 706"
720 FRP,38.25995,121.7926,Lindsey Slough,Up Lindsey Slough
723 FRP,38.24355,121.68453,Liberty Island,South end of Liberty Island
724 FRP,38.24246447,121.6618801,Miner Slough,Spur channel by leaky breach
726 FRP,38.25811292,121.653526,Miner Slough,"Stringer's Spur, Sampled while 20mm sampled IEP 726"
801 FRP,38.04218957,121.8444517,Confluence,"Compared to IEP 801, channel just outside Winter Island, between the tules"
Barker rip rap,38.26531,121.78379,Barker Slough,used for Pilot Phase II
BK1,38.26781949,121.7898314,Barker Slough,"Upstream end of Barker Slough, UC Davis Arc study site"
BK2,38.26321378,121.7803662,Barker Slough,Downstream end of Barker Slough
Blacklock,38.18031,121.90878,Suisun,Old DWR restoration site. Reference for Bradmoor and Arnold
Bradmoor,38.18248,121.92172,Suisun,Inside of the Bradmoor Island Resotoration site
BROISL,38.039,121.85761,Browns Island,Inside Browns Island
Browns Channel,38.04050271,121.8675863,Browns Island,Most of the main channel on Browns Island. Sampled while IEP sampled 801. Remarkably deep channel. 10-12 ft.
Browns1,38.03813016,121.8577899,Browns Island,Open pond at end of channel
CA3,38.28601,121.72101,Cache Slough,UC Davis Arc study station
Cache,,,Cache Slough,Cache Slough on the SW side of Liberty Island
CC1,38.26030111,121.7811813,Lindsey Slough,Eastern end of Calhoun Cut
CC2,38.25995987,121.7906483,Lindsey Slough,Western end of Calhoun Cut
Decker Breach,38.08360788,121.723387,Horseshoe Bend,Culvert and veg patch outside
Decker BS1,38.10404278,121.710669,Horseshoe Bend,"Seining beach on Sac. River side of Decker, northern end."
Decker BS2,38.09872661,121.7090939,Horseshoe Bend,Beach just south of big log on the Horseshoe Bend side of Decker
Decker BS3,38.09689579,121.7092772,Horseshoe Bend,Seining beach by boat dock
Decker Inside,38.08512,121.72336,Horseshoe Bend,Anywhere on the inside of Decker Island Restoration Site
Dow 2,38.02324421,121.8333619,Dow Wetlands,as far as you can go up the channel to the right/west
Dow 3,38.02191299,121.8253262,Dow Wetlands,Eastern channel
Dow 4,38.02278941,121.8294301,Dow Wetlands,Center
Dow 5,38.02188756,121.8336971,Dow Wetlands,"Way in the back of the marsh (SW corner), near a telephone pole"
Dow Breach,38.02375735,121.8272565,Dow Wetlands,Opening with the white poles across it
Dow Outside,38.024821,121.82609,Confluence,
Fallouts1,38.29586,121.68886,Liberty Island,"used for Pilot Phase I,  500m south of subsrtates, in tules."
Fallouts2,38.296002,121.686518,Liberty Island,"used for Pilot Phase I, Upper Liberty, on tule island 500m south of substrates"
Flyway,38.36414,121.6444767,Yolo Bypass,Anywhere on the Flyway Farms Restoraiotn site
Headreach,38.03228,121.47833,San Joaquin,Near Headreach slough
Horsebend1,38.08258782,121.7280776,Horseshoe Bend,Southern end of horseshoe bend
Horsebend2,38.08403422,121.7146892,Horseshoe Bend,Middle of Horseshoe bend
HorseBend3,38.09929728,121.7079337,Horseshoe Bend,"Northern end of Horseshoe Bend, near old restoration site"
HS2,38.30367327,121.7312177,Hass Slough,Hass Slough upstream of Ulatis Creek
HS3,38.27772992,121.7105386,Hass Slough,Hass Slough downstream of Ulatis to Cache
