latitude	longitude	site
38.07447	122.01588	501 FRP
38.04482	121.87193	520 FRP
38.12129217	122.0067224	602FRP
38.18178043	121.9139374	609 FRP
38.0430953	121.7992028	703 FRP
38.08988506	121.7090585	705 FRP
38.08294	121.72507	706 FRP
38.25995	121.7926	720 FRP
38.24355	121.68453	723 FRP
38.24246447	121.6618801	724 FRP
38.25811292	121.653526	726 FRP
38.04218957	121.8444517	801 FRP
38.26531	121.78379	Barker rip rap
38.26781949	121.7898314	BK1
38.26321378	121.7803662	BK2
38.18031	121.90878	Blacklock
38.18248	121.92172	Bradmoor
38.039	121.85761	BROISL
38.04050271	121.8675863	Browns Channel
38.03813016	121.8577899	Browns1
38.28601	121.72101	CA3
38.26030111	121.7811813	CC1
38.25995987	121.7906483	CC2
38.08360788	121.723387	Decker Breach
38.10404278	121.710669	Decker BS1
38.09872661	121.7090939	Decker BS2
38.09689579	121.7092772	Decker BS3
38.08512	121.72336	Decker Inside
38.02324421	121.8333619	Dow 2
38.02191299	121.8253262	Dow 3
38.02278941	121.8294301	Dow 4
38.02188756	121.8336971	Dow 5
38.02375735	121.8272565	Dow Breach
38.024821	121.82609	Dow Outside
38.29586	121.68886	Fallouts1
38.296002	121.686518	Fallouts2
38.36414	121.6444767	Flyway
38.03228	121.47833	Headreach
38.08258782	121.7280776	Horsebend1
38.08403422	121.7146892	Horsebend2
38.09929728	121.7079337	HorseBend3
38.30367327	121.7312177	HS2
38.27772992	121.7105386	HS3
38.24204	121.68239	LI001E
38.27719	121.69406	LI001W
38.246362	121.678139	LI002E
38.269292	121.691395	LI002W
38.255043	121.672072	LI003E
38.257888	121.690273	LI003W
38.26514	121.671557	LI004E
38.25268	121.686263	LI004W
38.273775	121.66693	LI005E
38.244607	121.686421	LI005W
38.28232	121.69229	LI006W
38.28417	121.66532	LI007E
38.28899	121.66651	LI008E
38.28759	121.69197	LI008W
38.29607	121.69193	Liberty FAV
38.2785	121.69402	Liberty rip rap
38.29003	121.6918	Liberty SAV
38.29617	121.68986	Liberty tules
38.26962	121.67718	Liberty1
38.27565	121.67599	Liberty2
38.24967	121.67701	Liberty3
38.24771	121.67861	Liberty4
38.26238	121.67883	Liberty5
38.26704	121.6879	Liberty6
38.25866311	121.7925665	LinBR
38.25951823	121.7975475	Lindsey FAV
38.25978	121.7923	Lindsey SAV
38.25902	121.79259	Lindsey tules
38.26026903	121.7616752	LN1
38.25814901	121.738121	LN2
38.24998083	121.713593	LN3
38.24232	121.66168	Miner rip rap
38.25687	121.6527	Miner SAV
38.23414087	121.6691908	Miner Tules
38.24640849	121.6595325	MinSlo1
38.26363244	121.6470267	MinSlo2
38.27997313	121.6415524	MinSlo3
38.29183335	121.6732488	NELiberty
38.19274121	121.9265354	Nurse1
38.29307247	121.6861237	NWLiberty
38.24394144	121.6636248	ProBr
38.31306549	121.6671414	ProSlough
38.08183	121.72399	Rep 1 channel
38.08307	121.72206	Rep 1 Wetland
38.08558	121.70901	Rep 2 channel
38.08766	121.71127	Rep 2 wetland
38.10013	121.70862	Rep 3 channel
38.10054	121.70925	Rep 3 Wetland
38.08098	122.01718	RYEISL
38.08547775	122.018814	Ryer1
38.08322056	122.0083422	Ryer2
38.07724609	122.0136547	Ryer3
38.07781685	122.0034729	Ryer4
38.25910821	121.677316	SELiberty
38.27997	121.69346	Shag SAV/FAV
38.3098208	121.6928649	shag1
38.27849914	121.6934933	Shag2
38.03217	121.47817	SJ1
38.03201	121.47786	SJ2
38.00916	121.45679	SJ3
38.00804	21.4561	SJ4
38.00391	121.45036	SJ5
38.00345	121.45008	SJ6
37.99771	121.44746	SJ7
37.99752	121.44749	SJ8
38.24924019	121.6637237	SoPro1
38.24498926	121.66946	SoPro2
38.23894736	121.6687814	SoPro3
38.25147542	121.6603186	SoPro4
38.24192	121.66946	SoPro5
38.23722	121.6692	SoPro6
38.24526063	121.6604141	SoPro7
38.0947	121.59039	Stacy's Island
38.32666076	121.6830292	Stairsteps1
38.33389898	121.6739171	Stairsteps2
38.34445786	121.6554718	Stairsteps3
38.29976	121.68925	substrates1
38.29964	121.69061	substrates2
38.26131864	121.6860805	SWLiberty
38.16935	121.41541	throwtraps
38.35634969	121.6418877	Toedrain1
38.1207568	121.9818389	TR1
38.12277207	121.9860338	TR2
38.1283278	121.9895781	TR3
38.13487	121.99668	TR4
38.13487	121.99668	TR5
38.1136	121.98169	TR6
38.11378	121.98161	TR7
38.09502792	121.5879041	Webb
38.33402	121.67107	Wildlands
38.04592853	121.847501	WinBR
38.22694	122.03591	Wings 1
38.22601	122.03826	Wings Brood Pond
38.04965383	121.8488996	Winter 1
38.03794338	121.8442846	Winter 2
38.03060978	121.8414193	Winter 3
38.05228908	121.856805	Winter 4
38.05212368	121.8542861	Winter 5
